Name,Position,Height,Weight,Age
Jose Valverde,Relief Pitcher,76,254,27.6
Jorge Julio,Relief Pitcher,73,232,27.99
Brandon Lyon,Relief Pitcher,73,180,27.56
Miguel Olivo,Catcher,72,215,28.63
Matt Treanor,Catcher,74,220,30.99
Mike Jacobs,First Baseman,74,180,26.33
Dan Uggla,Second Baseman,71,200,26.97
Robert Andino,Shortstop,72,170,22.85
Hanley Ramirez,Shortstop,75,195,23.19
Miguel Cabrera,Third Baseman,74,210,23.87
Aaron Boone,Third Baseman,74,200,33.98
Joe Borchard,Outfielder,77,220,28.26
Alfredo Amezaga,Outfielder,70,165,29.12
Cody Ross,Outfielder,71,180,26.18
Josh Willingham,Outfielder,73,200,28.03
Jeremy Hermida,Outfielder,76,200,23.08
Eric Reed,Outfielder,71,170,26.24
Reggi Abercrombie,Outfielder,75,224,26.63
Ricky Nolasco,Starting Pitcher,74,220,24.21
Anibal Sanchez,Starting Pitcher,72,180,23.01
Scott Olsen,Starting Pitcher,76,198,23.13
Josh Johnson,Starting Pitcher,79,240,23.08
Dontrelle Willis,Starting Pitcher,76,239,25.13
Logan Kensing,Relief Pitcher,73,185,24.66
Sergio Mitre,Relief Pitcher,76,210,26.03
Kevin Gregg,Relief Pitcher,78,220,28.7
Travis Bowyer,Relief Pitcher,75,200,25.57
Renyel Pinto,Relief Pitcher,76,195,24.65
Randy Messenger,Relief Pitcher,72,220,25.55
Yusmeiro Petit,Relief Pitcher,72,230,22.27
Carlos Martinez,Relief Pitcher,73,170,24.76
Taylor Tankersley,Relief Pitcher,73,220,23.98
Henry Owens,Relief Pitcher,75,230,27.85
Jose Garcia,Relief Pitcher,71,165,22.14
Matt Lindstrom,Relief Pitcher,76,205,27.05
Javier Valentin,Catcher,70,192,31.45
Chad Moeller,Catcher,75,210,32.03
David Ross,Catcher,74,205,29.95
Joey Votto,First Baseman,75,200,23.47
Scott Hatteberg,First Baseman,73,210,37.21
Brandon Phillips,Second Baseman,71,185,25.67
Juan Castro,Shortstop,71,195,34.69
Alex Gonzalez,Shortstop,72,202,30.04
Mark Bellhorn,Third Baseman,73,205,32.52
Edwin Encarnacion,Third Baseman,73,195,24.15
Jeff Keppinger,Third Baseman,72,180,26.86
Norris Hopper,Outfielder,69,200,27.94
Chris Denorfia,Outfielder,73,185,26.63
Adam Dunn,Outfielder,78,240,27.31
Bubba Crosby,Outfielder,71,185,30.55
Jeff Conine,Outfielder,73,220,40.68
Ken Griffey Jr.,Outfielder,75,205,37.27
Josh Hamilton,Outfielder,76,205,25.78
Ryan Freel,Outfielder,70,180,30.98
Kyle Lohse,Starting Pitcher,74,201,28.41
Bronson Arroyo,Starting Pitcher,77,190,30.01
Eric Milton,Starting Pitcher,75,208,31.57
Aaron Harang,Starting Pitcher,79,240,28.81
Elizardo Ramirez,Starting Pitcher,72,180,24.09
Todd Coffey,Relief Pitcher,77,230,26.47
Brian Shackelford,Relief Pitcher,73,195,30.5
Bill Bray,Relief Pitcher,75,215,23.74
Bobby Livingston,Relief Pitcher,75,190,24.49
Matt Belisle,Relief Pitcher,75,195,26.73
Gary Majewski,Relief Pitcher,73,215,27.01
Mike Stanton,Relief Pitcher,73,215,39.75
Brad Salmon,Relief Pitcher,76,220,27.16
Jared Burton,Relief Pitcher,77,220,25.74
David Weathers,Relief Pitcher,75,230,37.43
Rheal Cormier,Relief Pitcher,70,195,39.85
Yorvit Torrealba,Catcher,71,190,28.62
Chris Iannetta,Catcher,71,195,23.9
Alvin Colina,Catcher,75,209,25.18
Todd Helton,First Baseman,74,204,33.53
Jamey Carroll,Second Baseman,69,170,33.03
Kaz Matsui,Second Baseman,70,185,31.35
Troy Tulowitzki,Shortstop,75,205,22.39
Clint Barmes,Shortstop,72,175,27.99
Garrett Atkins,Third Baseman,75,210,27.22
Ryan Spilborghs,Outfielder,73,190,27.49
Cory Sullivan,Outfielder,72,180,27.53
Jeff Salazar,Outfielder,72,180,26.26
Willy Taveras,Outfielder,72,160,25.18
Matt Holliday,Outfielder,76,235,27.12
Brad Hawpe,Outfielder,75,200,27.69
Jeff Baker,Outfielder,74,210,25.69
Javy Lopez,Designated Hitter,75,224,36.32
Byung-Hyun Kim,Starting Pitcher,69,180,28.11
Rodrigo Lopez,Starting Pitcher,73,190,31.21
Brian Lawrence,Starting Pitcher,72,197,30.8
Josh Fogg,Starting Pitcher,72,203,30.21
Aaron Cook,Starting Pitcher,75,205,28.06
Denny Bautista,Starting Pitcher,77,170,26.52
Ubaldo Jimenez,Starting Pitcher,76,200,23.1
Jason Hirsh,Starting Pitcher,80,250,25.02
Jeff Francis,Starting Pitcher,77,200,26.14
Taylor Buchholz,Starting Pitcher,76,220,25.38
Ryan Speier,Relief Pitcher,79,200,27.6
Ramon Ramirez,Relief Pitcher,71,190,25.5
Manny Corpas,Relief Pitcher,75,170,24.24
Juan Morillo,Relief Pitcher,73,190,23.32
Brian Fuentes,Relief Pitcher,76,220,31.56
LaTroy Hawkins,Relief Pitcher,77,215,34.19
Tom Martin,Relief Pitcher,73,206,36.78
Jeremy Affeldt,Relief Pitcher,76,215,27.73
Paul Lo Duca,Catcher,70,185,34.88
Ramon Castro,Catcher,75,235,31
Julio Franco,First Baseman,73,188,48.52
Carlos Delgado,First Baseman,75,230,34.68
Jose Valentin,Second Baseman,70,195,37.38
Anderson Hernandez,Second Baseman,69,168,24.33
Damion Easley,Shortstop,71,190,37.3
Jose Reyes,Shortstop,72,160,23.72
David Wright,Third Baseman,72,200,24.19
Ben Johnson,Outfielder,73,200,25.7
Endy Chavez,Outfielder,70,189,29.06
David Newhan,Outfielder,70,180,33.48
Carlos Beltran,Outfielder,73,190,29.85
Shawn Green,Outfielder,76,200,34.3
Moises Alou,Outfielder,75,220,40.66
Lastings Milledge,Outfielder,72,187,21.9
Alay Soler,Starting Pitcher,73,240,27.39
Mike Pelfrey,Starting Pitcher,79,190,23.13
Pedro Martinez,Starting Pitcher,71,180,35.35
Tom Glavine,Starting Pitcher,72,185,40.93
Chan Ho Park,Starting Pitcher,74,210,33.67
Orlando Hernandez,Starting Pitcher,74,220,37.39
Dave Williams,Starting Pitcher,74,219,27.97
Oliver Perez,Starting Pitcher,72,190,25.54
John Maine,Starting Pitcher,76,193,25.81
Marcos Carvajal,Relief Pitcher,76,175,22.53
Ambiorix Burgos,Relief Pitcher,72,180,22.86
Jason Vargas,Relief Pitcher,72,215,24.07
Jon Adkins,Relief Pitcher,71,210,29.5
Juan Padilla,Relief Pitcher,72,200,30.03
Duaner Sanchez,Relief Pitcher,72,190,27.38
Pedro Feliciano,Relief Pitcher,70,185,30.51
Aaron Heilman,Relief Pitcher,77,220,28.3
Jorge Sosa,Relief Pitcher,74,170,29.84
Scott Schoeneweis,Relief Pitcher,72,195,33.41
Guillermo Mota,Relief Pitcher,76,205,33.6
Billy Wagner,Relief Pitcher,71,195,35.6
Philip Humber,Relief Pitcher,76,210,24.19
Brad Ausmus,Catcher,71,190,37.88
Humberto Quintero,Catcher,73,190,27.56
Hector Gimenez,Catcher,70,180,24.42
Lance Berkman,First Baseman,73,220,31.05
Mike Lamb,First Baseman,73,190,31.56
Mark Loretta,Second Baseman,72,186,35.55
Craig Biggio,Second Baseman,71,185,41.21
Brooks Conrad,Second Baseman,71,190,27.12
Chris Burke,Second Baseman,71,180,26.97
Eric Bruntlett,Second Baseman,72,190,28.92
Adam Everett,Shortstop,72,170,30.06
Morgan Ensberg,Third Baseman,74,210,31.51
Carlos Lee,Outfielder,74,240,30.69
Jason Lane,Outfielder,74,220,30.19
Orlando Palmeiro,Outfielder,71,180,38.11
Luke Scott,Outfielder,72,210,28.68
Charlton Jimerson,Outfielder,75,210,27.44
Fernando Nieve,Starting Pitcher,72,195,24.63
Wandy Rodriguez,Starting Pitcher,71,160,28.11
Brandon Backe,Starting Pitcher,72,180,28.9
Matt Albers,Starting Pitcher,72,205,24.11
Woody Williams,Starting Pitcher,72,200,40.53
Roy Oswalt,Starting Pitcher,72,185,29.5
Jason Jennings,Starting Pitcher,74,245,28.62
Miguel Asencio,Relief Pitcher,74,190,26.42
Brad Lidge,Relief Pitcher,77,210,30.18
Trever Miller,Relief Pitcher,75,200,33.75
David Borkowski,Relief Pitcher,73,200,30.06
Dan Wheeler,Relief Pitcher,75,222,29.22
Paul Estrada,Relief Pitcher,73,215,24.47
Lincoln Holdzkom,Relief Pitcher,76,240,24.94
Chris Sampson,Relief Pitcher,72,170,28.77
Chad Qualls,Relief Pitcher,77,220,28.54
Ezequiel Astacio,Relief Pitcher,75,156,27.32
Mike Lieberthal,Catcher,72,190,35.12
Russell Martin,Catcher,71,202,24.04
Olmedo Saenz,First Baseman,71,221,36.39
James Loney,First Baseman,75,200,22.81
Nomar Garciaparra,First Baseman,72,190,33.6
Jeff Kent,Second Baseman,73,210,38.98
Ramon Martinez,Second Baseman,73,190,34.39
Marlon Anderson,Second Baseman,71,200,33.15
Rafael Furcal,Shortstop,70,165,29.35
Wilson Betemit,Third Baseman,75,190,26.59
Andy LaRoche,Third Baseman,71,185,23.46
Matt Kemp,Outfielder,76,230,22.43
Andre Ethier,Outfielder,73,208,24.89
Delwyn Young,Outfielder,68,209,24.67
Jason Repko,Outfielder,71,175,26.17
Juan Pierre,Outfielder,72,180,29.54
Luis Gonzalez,Outfielder,74,200,39.49
Jason Schmidt,Starting Pitcher,77,205,34.08
Randy Wolf,Starting Pitcher,72,200,30.52
Brad Penny,Starting Pitcher,76,250,28.77
Derek Lowe,Starting Pitcher,78,210,33.75
Mark Hendrickson,Starting Pitcher,81,230,32.69
Chad Billingsley,Starting Pitcher,72,244,22.59
Takashi Saito,Relief Pitcher,73,202,37.04
Jonathan Broxton,Relief Pitcher,76,240,22.7
Hong-Chih Kuo,Relief Pitcher,72,200,25.6
Eric Stults,Relief Pitcher,72,215,27.23
Chin-Hui Tsao,Relief Pitcher,74,177,25.74
Tim Hamulack,Relief Pitcher,76,210,30.29
Yhency Brazoban,Relief Pitcher,73,170,26.72
Brett Tomko,Relief Pitcher,76,215,33.9
Joe Beimel,Relief Pitcher,75,217,29.86
Elmer Dessens,Relief Pitcher,70,198,36.13
Ryan Budde,Catcher,71,200,27.54
Rod Barajas,Catcher,74,220,31.49
Carlos Ruiz,Catcher,72,170,28.1
Chris Coste,Catcher,73,200,34.07
Ryan Howard,First Baseman,76,230,27.28
Wes Helms,First Baseman,76,231,30.8
Chase Utley,Second Baseman,73,183,28.2
Danny Sandoval,Second Baseman,71,192,27.9
Jimmy Rollins,Shortstop,68,167,28.26
Abraham Nu?ez,Third Baseman,71,190,30.96
Michael Bourn,Outfielder,71,180,24.18
Chris Roberson,Outfielder,74,180,27.52
Jayson Werth,Outfielder,77,215,27.78
Shane Victorino,Outfielder,69,160,26.25
Aaron Rowand,Outfielder,72,205,29.5
Pat Burrell,Outfielder,76,223,30.39
Greg Dobbs,Designated Hitter,73,205,28.66
Cole Hamels,Starting Pitcher,75,175,23.18
Alfredo Simon,Starting Pitcher,76,170,25.81
Scott Mathieson,Starting Pitcher,75,190,23.01
Freddy Garcia,Starting Pitcher,76,240,31.72
Jamie Moyer,Starting Pitcher,72,175,44.28
Jon Lieber,Starting Pitcher,74,230,36.91
Brett Myers,Starting Pitcher,76,223,26.54
Adam Eaton,Starting Pitcher,74,196,29.27
Geoff Geary,Relief Pitcher,72,167,30.51
Clay Condrey,Relief Pitcher,75,195,31.28
Ryan Madson,Relief Pitcher,78,190,26.51
Antonio Alfonseca,Relief Pitcher,77,250,34.87
Tom Gordon,Relief Pitcher,70,190,39.28
Brian Sanches,Relief Pitcher,72,190,28.56
Jim Ed Warden,Relief Pitcher,79,190,27.82
Anderson Garcia,Relief Pitcher,74,170,25.94
Eude Brito,Relief Pitcher,71,160,28.53
Fabio Castro,Relief Pitcher,68,150,22.11
Matt Smith,Relief Pitcher,77,225,27.71
Damian Miller,Catcher,75,220,37.38
Johnny Estrada,Catcher,71,209,30.67
Mike Rivera,Catcher,72,210,30.48
J.D. Closser,Catcher,70,176,27.12
Prince Fielder,First Baseman,72,260,22.81
Rickie Weeks,Second Baseman,72,195,24.46
Tony Graffanino,Second Baseman,73,190,34.73
Craig Counsell,Shortstop,72,184,36.53
J.J. Hardy,Shortstop,74,180,24.53
Bill Hall,Shortstop,72,195,27.17
Vinny Rottino,Third Baseman,72,195,26.9
Corey Koskie,Third Baseman,75,219,33.67
Kevin Mench,Outfielder,72,225,29.14
Geoff Jenkins,Outfielder,73,212,32.61
Brady Clark,Outfielder,74,202,33.87
Tony Gwynn Jr.,Outfielder,72,185,24.41
Corey Hart,Outfielder,78,200,24.94
Gabe Gross,Outfielder,75,209,27.36
Laynce Nix,Outfielder,72,200,26.33
Drew Anderson,Outfielder,74,195,25.72
Claudio Vargas,Starting Pitcher,75,228,28.7
Chris Capuano,Starting Pitcher,75,210,28.53
Ben Hendrickson,Starting Pitcher,76,190,26.07
Dave Bush,Starting Pitcher,74,212,27.31
Carlos Villanueva,Starting Pitcher,74,190,23.26
Ben Sheets,Starting Pitcher,73,218,28.62
Jeff Suppan,Starting Pitcher,74,220,32.16
Brian Shouse,Relief Pitcher,71,190,38.43
Francisco Cordero,Relief Pitcher,74,235,31.81
Derrick Turnbow,Relief Pitcher,75,210,29.1
Matt Wise,Relief Pitcher,76,200,31.28
Grant Balfour,Relief Pitcher,74,188,29.17
Dennis Sarfate,Relief Pitcher,76,210,25.89
Jose Capellan,Relief Pitcher,76,235,26.13
Greg Aquino,Relief Pitcher,73,188,29.13
Josh Bard,Catcher,75,215,28.92
Rob Bowen,Catcher,75,216,26.01
Adrian Gonzalez,First Baseman,74,220,24.81
Marcus Giles,Second Baseman,68,180,28.79
Todd Walker,Second Baseman,72,185,33.77
Geoff Blum,Shortstop,75,200,33.85
Khalil Greene,Shortstop,71,210,27.36
Paul McAnulty,Outfielder,70,220,26.01
Terrmel Sledge,Outfielder,72,185,29.95
Jack Cust,Outfielder,73,231,28.12
Jose Cruz Jr.,Outfielder,72,210,32.87
Russell Branyan,Outfielder,75,195,31.2
Mike Cameron,Outfielder,74,200,34.14
Brian Giles,Outfielder,70,205,36.11
Kevin Kouzmanoff,Designated Hitter,73,200,25.6
Mike Thompson,Starting Pitcher,76,200,26.31
Clay Hensley,Starting Pitcher,71,190,27.5
Chris Young,Starting Pitcher,82,250,27.77
Greg Maddux,Starting Pitcher,72,185,40.88
Jake Peavy,Starting Pitcher,73,180,25.75
Scott Cassidy,Relief Pitcher,74,170,31.41
Scott Strickland,Relief Pitcher,71,180,30.84
Scott Linebrink,Relief Pitcher,75,208,30.57
Doug Brocail,Relief Pitcher,77,235,39.79
Trevor Hoffman,Relief Pitcher,72,215,39.38
Heath Bell,Relief Pitcher,74,244,29.42
Royce Ring,Relief Pitcher,72,220,26.19
Cla Meredith,Relief Pitcher,73,185,23.74
Andrew Brown,Relief Pitcher,78,230,26.03
Mike Adams,Relief Pitcher,77,190,28.59
Justin Hampson,Relief Pitcher,73,200,26.77
Kevin Cameron,Relief Pitcher,73,180,27.21
Ryan Ketchner,Relief Pitcher,73,190,24.87
Brian Schneider,Catcher,73,196,30.26
Jesus Flores,Catcher,73,180,22.34
Larry Broadway,First Baseman,76,230,26.2
Nick Johnson,First Baseman,75,224,28.45
Bernie Castro,Second Baseman,70,160,27.63
Josh Wilson,Shortstop,73,178,25.93
Cristian Guzman,Shortstop,72,205,28.94
Felipe Lopez,Shortstop,73,185,26.8
Ryan Zimmerman,Third Baseman,75,210,22.42
Nook Logan,Outfielder,74,180,27.26
Ryan Church,Outfielder,73,190,28.38
Kory Casto,Outfielder,73,200,25.23
Mike Restovich,Outfielder,76,257,28.16
Alex Escobar,Outfielder,73,190,28.48
Austin Kearns,Outfielder,75,220,26.78
Chris Snelling,Outfielder,70,165,25.24
Billy Traber,Starting Pitcher,77,205,27.45
Tim Redding,Starting Pitcher,72,200,29.05
John Patterson,Starting Pitcher,77,208,29.08
Shawn Hill,Starting Pitcher,74,185,25.84
Joel Hanrahan,Starting Pitcher,75,215,25.4
Mike O'Connor,Starting Pitcher,75,170,26.54
Emiliano Fruto,Relief Pitcher,75,235,22.73
Chris Schroder,Relief Pitcher,75,210,28.53
Brett Campbell,Relief Pitcher,72,170,25.37
Beltran Perez,Relief Pitcher,74,180,25.35
Levale Speigner,Relief Pitcher,71,170,26.43
Jason Bergmann,Relief Pitcher,76,190,25.43
Saul Rivera,Relief Pitcher,71,150,29.23
Chris Booker,Relief Pitcher,75,230,30.22
Micah Bowie,Relief Pitcher,76,203,32.3
Jon Rauch,Relief Pitcher,83,260,28.42
Jerome Williams,Relief Pitcher,75,246,25.24
Luis Ayala,Relief Pitcher,74,186,29.13
Ryan Wagner,Relief Pitcher,76,210,24.63
Chad Cordero,Relief Pitcher,72,198,24.95
Humberto Cota,Catcher,72,210,28.06
Ronny Paulino,Catcher,75,215,25.86
Adam LaRoche,First Baseman,75,180,27.32
Ryan Doumit,First Baseman,72,200,25.91
Brad Eldred,First Baseman,77,245,26.63
Jose Castillo,Second Baseman,73,200,25.95
Jack Wilson,Shortstop,72,192,29.17
Freddy Sanchez,Third Baseman,70,192,29.19
Jason Bay,Outfielder,74,200,28.44
Jose Bautista,Outfielder,72,192,26.36
Xavier Nady,Outfielder,74,205,28.29
Jody Gerut,Outfielder,72,190,29.45
Nate McLouth,Outfielder,71,186,25.34
Chris Duffy,Outfielder,70,170,26.86
Rajai Davis,Outfielder,71,197,26.36
Shane Youman,Starting Pitcher,76,219,27.39
Yoslan Herrera,Starting Pitcher,74,200,25.84
Josh Shortslef,Starting Pitcher,76,220,25.08
Zach Duke,Starting Pitcher,74,207,23.87
Paul Maholm,Starting Pitcher,74,225,24.68
Tom Gorzelanny,Starting Pitcher,74,207,24.64
Shawn Chacon,Starting Pitcher,75,212,29.19
Tony Armas Jr.,Starting Pitcher,75,225,28.84
Ian Snell,Starting Pitcher,71,170,25.33
Sean Burnett,Starting Pitcher,71,190,24.45
John Grabow,Relief Pitcher,74,210,28.32
Marty McLeary,Relief Pitcher,77,230,32.34
Salomon Torres,Relief Pitcher,71,210,34.97
Damaso Marte,Relief Pitcher,74,200,32.04
Matt Capps,Relief Pitcher,75,238,23.49
Josh Sharpless,Relief Pitcher,77,234,26.09
Bryan Bullington,Relief Pitcher,76,222,26.41
Jonah Bayliss,Relief Pitcher,74,200,26.55
Brian Rogers,Relief Pitcher,76,190,24.62
Juan Perez,Relief Pitcher,72,170,28.49
Bengie Molina,Catcher,71,220,32.61
Eliezer Alfonzo,Catcher,72,223,28.06
Lance Niekro,First Baseman,75,210,28.08
Mark Sweeney,First Baseman,73,215,37.34
Ray Durham,Second Baseman,68,196,35.25
Kevin Frandsen,Second Baseman,72,175,24.77
Omar Vizquel,Shortstop,69,175,39.85
Rich Aurilia,Third Baseman,73,189,35.49
Pedro Feliz,Third Baseman,73,205,31.84
Todd Linden,Outfielder,75,210,26.67
Dave Roberts,Outfielder,70,180,34.75
Jason Ellison,Outfielder,70,180,28.91
Randy Winn,Outfielder,74,197,32.73
Ryan Klesko,Outfielder,75,220,35.72
Barry Bonds,Outfielder,74,228,42.6
Fred Lewis,Outfielder,74,190,26.22
Kelyn Acosta,Starting Pitcher,73,204,21.85
Jonathan Sanchez,Starting Pitcher,74,165,24.28
Matt Cain,Starting Pitcher,75,216,22.41
Matt Morris,Starting Pitcher,77,220,32.56
Russ Ortiz,Starting Pitcher,73,208,32.74
Noah Lowry,Starting Pitcher,74,210,26.39
Barry Zito,Starting Pitcher,76,215,28.8
Vinnie Chulk,Relief Pitcher,74,195,28.2
Kevin Correia,Relief Pitcher,75,200,26.52
Steve Kline,Relief Pitcher,73,215,34.52
Armando Benitez,Relief Pitcher,76,229,34.32
Scott Munter,Relief Pitcher,78,240,26.98
Jack Taschner,Relief Pitcher,75,207,28.86
Brian Wilson,Relief Pitcher,73,205,24.96
Merkin Valdez,Relief Pitcher,77,208,25.3
Brad Hennessey,Relief Pitcher,74,185,27.06
Billy Sadler,Relief Pitcher,72,190,25.44
Pat Misch,Relief Pitcher,74,170,25.53
Gary Bennett,Catcher,72,208,34.87
Yadier Molina,Catcher,71,225,24.63
John Nelson,First Baseman,73,190,27.99
Albert Pujols,First Baseman,75,225,27.12
Adam Kennedy,Second Baseman,73,185,31.14
Aaron Miles,Second Baseman,67,180,30.21
David Eckstein,Shortstop,67,165,32.11
Scott Rolen,Third Baseman,76,240,31.91
Scott Spiezio,Third Baseman,74,220,34.44
Jim Edmonds,Outfielder,73,212,36.68
So Taguchi,Outfielder,70,163,37.66
Juan Encarnacion,Outfielder,75,215,30.98
Skip Schumaker,Outfielder,70,175,27.07
John Rodriguez,Outfielder,72,205,29.11
Chris Duncan,Outfielder,77,210,25.82
Adam Wainwright,Starting Pitcher,79,205,25.5
Mark Mulder,Starting Pitcher,78,208,29.57
Anthony Reyes,Starting Pitcher,74,215,25.37
Ryan Franklin,Starting Pitcher,75,180,33.99
Kip Wells,Starting Pitcher,75,200,29.86
Chris Carpenter,Starting Pitcher,78,230,31.84
Russ Springer,Relief Pitcher,76,211,38.31
Jason Isringhausen,Relief Pitcher,75,230,34.48
Ricardo Rincon,Relief Pitcher,69,190,36.88
Braden Looper,Relief Pitcher,75,220,32.34
Randy Flores,Relief Pitcher,72,180,31.58
Josh Hancock,Relief Pitcher,75,205,28.89
Brad Thompson,Relief Pitcher,73,190,25.08
Tyler Johnson,Relief Pitcher,74,180,25.73
Chris Narveson,Relief Pitcher,75,205,25.19
Randy Keisler,Relief Pitcher,75,190,31.01
Josh Kinney,Relief Pitcher,73,195,27.92
